ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
19,01.14,Coltivazione di canna da zucchero,Growing of sugar cane,Anbau von Zuckerrohr,4,01.1,3
20,01.14.0,Coltivazione di canna da zucchero,Growing of sugar cane,Anbau von Zuckerrohr,5,01.14,4
21,01.14.00,Coltivazione di canna da zucchero,Growing of sugar cane,Anbau von Zuckerrohr,6,01.14.0,5
22,01.15,Coltivazione di tabacco,Growing of tobacco,Anbau von Tabak,4,01.1,3
23,01.15.0,Coltivazione di tabacco,Growing of tobacco,Anbau von Tabak,5,01.15,4
24,01.15.00,Coltivazione di tabacco,Growing of tobacco,Anbau von Tabak,6,01.15.0,5
25,01.16,Coltivazione di piante tessili,Growing of fibre crops,Anbau von Faserpflanzen,4,01.1,3
26,01.16.0,Coltivazione di piante tessili,Growing of fibre crops,Anbau von Faserpflanzen,5,01.16,4
27,01.16.00,Coltivazione di piante tessili,Growing of fibre crops,Anbau von Faserpflanzen,6,01.16.0,5
28,01.19,Coltivazione di altre colture agricole non permanenti,Growing of other non-perennial crops,Anbau von sonstigen ein- und zweijährigen Pflanzen,4,01.1,3
29,01.19.1,Coltivazione di fiori,Growing of flowers,Blumenanbau,5,01.19,4
30,01.19.11,Coltivazione di fiori in piena aria,Growing of flowers in open fields,Freilandanbau von Blumen,6,01.19.1,5
31,01.19.12,Coltivazione di fiori in colture protette fuori suolo,Growing of flowers in greenhouses as soil-less culture,Geschützter erdeloser Anbau von Blumen,6,01.19.1,5
32,01.19.13,"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo","Growing of flowers in greenhouses, other than soil-less culture","Geschützter Anbau von Blumen, ausgenommen erdeloser Anbau",6,01.19.1,5
33,01.19.9,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,Anbau von Futterpflanzen und sonstigen ein- und zweijährigen Kulturen a. n. g.,5,01.19,4
34,01.19.90,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,Anbau von Futterpflanzen und sonstigen ein- und zweijährigen Kulturen a. n. g.,6,01.19.9,5
35,01.2,Coltivazione di colture agricole permanenti,Growing of perennial crops,Anbau mehrjähriger Pflanzen,3,01,2
36,01.21,Coltivazione di uva,Growing of grapes,Anbau von Wein- und Tafeltrauben,4,01.2,3
37,01.21.0,Coltivazione di uva,Growing of grapes,Anbau von Wein- und Tafeltrauben,5,01.21,4
38,01.21.00,Coltivazione di uva,Growing of grapes,Anbau von Wein- und Tafeltrauben,6,01.21.0,5
39,01.22,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,Anbau von tropischen und subtropischen Früchten,4,01.2,3
40,01.22.0,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,Anbau von tropischen und subtropischen Früchten,5,01.22,4
41,01.22.00,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,Anbau von tropischen und subtropischen Früchten,6,01.22.0,5
42,01.23,Coltivazione di agrumi,Growing of citrus fruits,Anbau von Zitrusfrüchten,4,01.2,3
43,01.23.0,Coltivazione di agrumi,Growing of citrus fruits,Anbau von Zitrusfrüchten,5,01.23,4
44,01.23.00,Coltivazione di agrumi,Growing of citrus fruits,Anbau von Zitrusfrüchten,6,01.23.0,5
45,01.24,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,Anbau von Kern- und Steinobst,4,01.2,3
46,01.24.0,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,Anbau von Kern- und Steinobst,5,01.24,4
47,01.24.00,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,Anbau von Kern- und Steinobst,6,01.24.0,5
48,01.25,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,Anbau von sonstigem Obst und Nüssen,4,01.2,3
49,01.25.0,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,Anbau von sonstigem Obst und Nüssen,5,01.25,4
50,01.25.00,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,Anbau von sonstigem Obst und Nüssen,6,01.25.0,5
51,01.26,Coltivazione di frutti oleosi,Growing of oleaginous fruits,Anbau von ölhaltigen Früchten,4,01.2,3
52,01.26.0,Coltivazione di frutti oleosi,Growing of oleaginous fruits,Anbau von ölhaltigen Früchten,5,01.26,4
53,01.26.00,Coltivazione di frutti oleosi,Growing of oleaginous fruits,Anbau von ölhaltigen Früchten,6,01.26.0,5
54,01.27,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,Anbau von Pflanzen zur Herstellung von Getränken,4,01.2,3
55,01.27.0,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,Anbau von Pflanzen zur Herstellung von Getränken,5,01.27,4
56,01.27.00,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,Anbau von Pflanzen zur Herstellung von Getränken,6,01.27.0,5
57,01.28,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke",4,01.2,3
58,01.28.0,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke",5,01.28,4
59,01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke",6,01.28.0,5
60,01.29,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,Anbau sonstiger mehrjähriger Pflanzen,4,01.2,3
61,01.29.0,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,Anbau sonstiger mehrjähriger Pflanzen,5,01.29,4
62,01.29.00,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,Anbau sonstiger mehrjähriger Pflanzen,6,01.29.0,5
63,01.3,Riproduzione delle piante,Plant propagation,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,3,01,2
64,01.30,Riproduzione delle piante,Plant propagation,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,4,01.3,3
65,01.30.0,Riproduzione delle piante,Plant propagation,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,5,01.30,4
66,01.30.00,Riproduzione delle piante,Plant propagation,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,6,01.30.0,5
67,01.4,Allevamento di animali,Animal production,Tierhaltung,3,01,2
68,01.41,Allevamento di bovini da latte,Raising of dairy cattle,Haltung von Milchkühen,4,01.4,3
69,01.41.0,Allevamento di bovini da latte,Raising of dairy cattle,Haltung von Milchkühen,5,01.41,4
70,01.41.00,Allevamento di bovini da latte,Raising of dairy cattle,Haltung von Milchkühen,6,01.41.0,5
71,01.42,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,Haltung von sonstigen Rindern,4,01.4,3
72,01.42.0,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,Haltung von sonstigen Rindern,5,01.42,4
73,01.42.00,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,Haltung von sonstigen Rindern,6,01.42.0,5
74,01.43,Allevamento di cavalli e altri equini,Raising of horses and other equines,Haltung von Pferden und Eseln,4,01.4,3
75,01.43.0,Allevamento di cavalli e altri equini,Raising of horses and other equines,Haltung von Pferden und Eseln,5,01.43,4
76,01.43.00,Allevamento di cavalli e altri equini,Raising of horses and other equines,Haltung von Pferden und Eseln,6,01.43.0,5
77,01.44,Allevamento di cammelli e camelidi,Raising of camels and camelids,Haltung von Kamelen,4,01.4,3
78,01.44.0,Allevamento di cammelli e camelidi,Raising of camels and camelids,Haltung von Kamelen,5,01.44,4
79,01.44.00,Allevamento di cammelli e camelidi,Raising of camels and camelids,Haltung von Kamelen,6,01.44.0,5
80,01.45,Allevamento di ovini e caprini,Raising of sheep and goats,Haltung von Schafen und Ziegen,4,01.4,3
81,01.45.0,Allevamento di ovini e caprini,Raising of sheep and goats,Haltung von Schafen und Ziegen,5,01.45,4
82,01.45.00,Allevamento di ovini e caprini,Raising of sheep and goats,Haltung von Schafen und Ziegen,6,01.45.0,5
83,01.46,Allevamento di suini,Raising of swine and pigs,Haltung von Schweinen,4,01.4,3
84,01.46.0,Allevamento di suini,Raising of swine and pigs,Haltung von Schweinen,5,01.46,4
85,01.46.00,Allevamento di suini,Raising of swine and pigs,Haltung von Schweinen,6,01.46.0,5
86,01.47,Allevamento di pollame,Raising of poultry,Haltung von Geflügel,4,01.4,3
87,01.47.0,Allevamento di pollame,Raising of poultry,Haltung von Geflügel,5,01.47,4
88,01.47.00,Allevamento di pollame,Raising of poultry,Haltung von Geflügel,6,01.47.0,5
89,01.48,Allevamento di altri animali,Raising of other animals,Sonstige Tierhaltung,4,01.4,3
90,01.48.1,Allevamento di conigli,Raising of rabbits,Haltung von Kaninchen,5,01.48,4
91,01.48.10,Allevamento di conigli,Raising of rabbits,Haltung von Kaninchen,6,01.48.1,5
92,01.48.2,Allevamento di altri animali da pelliccia,Raising of other fur animals,Haltung von sonstigen Pelztieren,5,01.48,4
93,01.48.20,Allevamento di altri animali da pelliccia,Raising of other fur animals,Haltung von sonstigen Pelztieren,6,01.48.2,5
94,01.48.3,Apicoltura,Bee-keeping,Bienenzucht,5,01.48,4
95,01.48.30,Apicoltura,Bee-keeping,Bienenzucht,6,01.48.3,5
96,01.48.4,Bachicoltura,Sericulture,Seidenraupenzucht,5,01.48,4
97,01.48.40,Bachicoltura,Sericulture,Seidenraupenzucht,6,01.48.4,5
98,01.48.9,Allevamento di altri animali n.c.a.,Raising of other animals n.e.c.,Sonstige Tierhaltung a. n. g.,5,01.48,4
99,01.48.91,Allevamento di insetti,Raising of insects,Insektenzucht,6,01.48.9,5
100,01.48.99,Allevamento di altri animali vari n.c.a.,Raising of other various animals n.e.c.,Alle anderen Tierhaltungen a. n. g.,6,01.48.9,5
101,01.5,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,Gemischte Landwirtschaft,3,01,2
102,01.50,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,Gemischte Landwirtschaft,4,01.5,3
103,01.50.0,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,Gemischte Landwirtschaft,5,01.50,4
104,01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,Gemischte Landwirtschaft,6,01.50.0,5
105,01.6,Attività di supporto all'agricoltura e attività successive alla raccolta,Support activities to agriculture and post-harvest crop activities,Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten,3,01,2
106,01.61,Attività di supporto alla produzione vegetale,Support activities for crop production,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,4,01.6,3
107,01.61.1,Manutenzione del terreno per mantenerlo in buone condizioni,Maintenance of land keeping it in good condition,Erhaltung des Bodens in gutem Zustand,5,01.61,4
108,01.61.10,Manutenzione del terreno per mantenerlo in buone condizioni,Maintenance of land keeping it in good condition,Erhaltung des Bodens in gutem Zustand,6,01.61.1,5
109,01.61.9,Attività di supporto alla produzione vegetale n.c.a.,Support activities for crop production n.e.c.,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau a. n. g.,5,01.61,4
110,01.61.91,Trattamenti fitosanitari,Pesticides application,Behandlung mit Pflanzenschutzmitteln,6,01.61.9,5
111,01.61.99,Altre attività di supporto alla produzione vegetale n.c.a.,Other support activities for crop production n.e.c.,Erbringung von sonstigen landwirtschaftlichen Dienstleistungen für den Pflanzenbau a. n. g.,6,01.61.9,5
112,01.62,Attività di supporto alla produzione animale,Support activities for animal production,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,4,01.6,3
113,01.62.0,Attività di supporto alla produzione animale,Support activities for animal production,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,5,01.62,4
114,01.62.01,Attività di maniscalchi,Activities of farriers,Hufschmiedetätigkeiten,6,01.62.0,5
115,01.62.09,Altre attività di supporto alla produzione animale,Other support activities for animal production,Erbringung von sonstigen landwirtschaftlichen Dienstleistungen für die Tierhaltung,6,01.62.0,5
116,01.63,Attività successive alla raccolta e lavorazione delle sementi per la semina,Post-harvest crop activities and seed processing for propagation,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung,4,01.6,3
117,01.63.1,Attività successive alla raccolta,Post-harvest crop activities,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung,5,01.63,4
118,01.63.10,Attività successive alla raccolta,Post-harvest crop activities,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung,6,01.63.1,5
119,01.63.2,Lavorazione delle sementi per la semina,Seed processing for propagation,Saatgutaufbereitung,5,01.63,4
120,01.63.20,Lavorazione delle sementi per la semina,Seed processing for propagation,Saatgutaufbereitung,6,01.63.2,5
121,01.7,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","Jagd, Fallenstellerei und damit verbundene Tätigkeiten",3,01,2
122,01.70,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","Jagd, Fallenstellerei und damit verbundene Tätigkeiten",4,01.7,3
123,01.70.0,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","Jagd, Fallenstellerei und damit verbundene Tätigkeiten",5,01.70,4
124,01.70.00,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","Jagd, Fallenstellerei und damit verbundene Tätigkeiten",6,01.70.0,5
125,02,Silvicoltura e utilizzo di aree forestali,Forestry and logging,Forstwirtschaft und Holzeinschlag,2,A,1
126,02.1,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,Forstwirtschaft,3,02,2
127,02.10,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,Forstwirtschaft,4,02.1,3
128,02.10.0,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,Forstwirtschaft,5,02.10,4
129,02.10.00,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,Forstwirtschaft,6,02.10.0,5
130,02.2,Utilizzo di aree forestali,Logging,Holzeinschlag,3,02,2
131,02.20,Utilizzo di aree forestali,Logging,Holzeinschlag,4,02.2,3
132,02.20.0,Utilizzo di aree forestali,Logging,Holzeinschlag,5,02.20,4
133,02.20.00,Utilizzo di aree forestali,Logging,Holzeinschlag,6,02.20.0,5
134,02.3,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,"Sammeln von wildwachsenden Produkten, ohne Holz",3,02,2
135,02.30,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,"Sammeln von wildwachsenden Produkten, ohne Holz",4,02.3,3
136,02.30.0,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,"Sammeln von wildwachsenden Produkten, ohne Holz",5,02.30,4
137,02.30.00,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,"Sammeln von wildwachsenden Produkten, ohne Holz",6,02.30.0,5
138,02.4,Servizi di supporto per la silvicoltura,Support services to forestry,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,3,02,2
139,02.40,Servizi di supporto per la silvicoltura,Support services to forestry,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,4,02.4,3
140,02.40.0,Servizi di supporto per la silvicoltura,Support services to forestry,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,5,02.40,4
141,02.40.00,Servizi di supporto per la silvicoltura,Support services to forestry,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,6,02.40.0,5
142,03,Pesca e acquacoltura,Fishing and aquaculture,Fischerei und Aquakultur,2,A,1
143,03.1,Pesca,Fishing,Fischerei,3,03,2
144,03.11,Pesca marina,Marine fishing,Meeresfischerei,4,03.1,3
145,03.11.0,Pesca marina,Marine fishing,Meeresfischerei,5,03.11,4
146,03.11.00,Pesca marina,Marine fishing,Meeresfischerei,6,03.11.0,5
147,03.12,Pesca in acque dolci,Freshwater fishing,Süßwasserfischerei,4,03.1,3
148,03.12.0,Pesca in acque dolci,Freshwater fishing,Süßwasserfischerei,5,03.12,4
149,03.12.00,Pesca in acque dolci,Freshwater fishing,Süßwasserfischerei,6,03.12.0,5
150,03.2,Acquacoltura,Aquaculture,Aquakultur,3,03,2
151,03.21,Acquacoltura marina,Marine aquaculture,Meeresaquakultur,4,03.2,3
152,03.21.0,Acquacoltura marina,Marine aquaculture,Meeresaquakultur,5,03.21,4
153,03.21.01,Coltivazione di alghe marine,Marine algae cultivation,Meeresalgenzucht,6,03.21.0,5
154,03.21.09,Altre attività di acquacoltura marina,Other activities of marine aquaculture,Sonstige Tätigkeiten der Meeresaquakultur,6,03.21.0,5
155,03.22,Acquacoltura in acque dolci,Freshwater aquaculture,Süßwasseraquakultur,4,03.2,3
156,03.22.0,Acquacoltura in acque dolci,Freshwater aquaculture,Süßwasseraquakultur,5,03.22,4
157,03.22.01,Coltivazione di alghe in acque dolci,Freshwater algae cultivation,Algenzucht in Süßwasser,6,03.22.0,5
158,03.22.09,Altre attività di acquacoltura in acque dolci,Other activities of freshwater aquaculture,Sonstige Tätigkeiten der Süßwasseraquakultur,6,03.22.0,5
159,03.3,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,3,03,2
160,03.30,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,4,03.3,3
161,03.30.0,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,5,03.30,4
162,03.30.00,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,Erbringung von Dienstleistungen für Fischerei und Aquakultur,6,03.30.0,5
163,B,ATTIVITÀ ESTRATTIVE,MINING AND QUARRYING,BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN,1,,
164,05,Estrazione di carbone e lignite,Mining of coal and lignite,Kohlenbergbau,2,B,1
165,05.1,Estrazione di antracite,Mining of hard coal,Steinkohlenbergbau,3,05,2
166,05.10,Estrazione di antracite,Mining of hard coal,Steinkohlenbergbau,4,05.1,3
167,05.10.0,Estrazione di antracite,Mining of hard coal,Steinkohlenbergbau,5,05.10,4
168,05.10.00,Estrazione di antracite,Mining of hard coal,Steinkohlenbergbau,6,05.10.0,5
169,05.2,Estrazione di lignite,Mining of lignite,Braunkohlenbergbau,3,05,2
170,05.20,Estrazione di lignite,Mining of lignite,Braunkohlenbergbau,4,05.2,3
171,05.20.0,Estrazione di lignite,Mining of lignite,Braunkohlenbergbau,5,05.20,4
172,05.20.00,Estrazione di lignite,Mining of lignite,Braunkohlenbergbau,6,05.20.0,5
173,06,Estrazione di petrolio greggio e gas naturale,Extraction of crude petroleum and natural gas,Gewinnung von Erdöl und Erdgas,2,B,1
174,06.1,Estrazione di petrolio greggio,Extraction of crude petroleum,Gewinnung von Erdöl,3,06,2
175,06.10,Estrazione di petrolio greggio,Extraction of crude petroleum,Gewinnung von Erdöl,4,06.1,3
176,06.10.0,Estrazione di petrolio greggio,Extraction of crude petroleum,Gewinnung von Erdöl,5,06.10,4
177,06.10.00,Estrazione di petrolio greggio,Extraction of crude petroleum,Gewinnung von Erdöl,6,06.10.0,5
178,06.2,Estrazione di gas naturale,Extraction of natural gas,Gewinnung von Erdgas,3,06,2
179,06.20,Estrazione di gas naturale,Extraction of natural gas,Gewinnung von Erdgas,4,06.2,3
180,06.20.0,Estrazione di gas naturale,Extraction of natural gas,Gewinnung von Erdgas,5,06.20,4
181,06.20.00,Estrazione di gas naturale,Extraction of natural gas,Gewinnung von Erdgas,6,06.20.0,5
182,07,Estrazione di minerali metalliferi,Mining of metal ores,Erzbergbau,2,B,1
183,07.1,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,Eisenerzbergbau,3,07,2
184,07.10,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,Eisenerzbergbau,4,07.1,3
185,07.10.0,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,Eisenerzbergbau,5,07.10,4
186,07.10.00,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,Eisenerzbergbau,6,07.10.0,5
187,07.2,Estrazione di minerali metalliferi non ferrosi,Mining of non-ferrous metal ores,NE-Metallerzbergbau,3,07,2
188,07.21,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,Bergbau auf Uran- und Thoriumerze,4,07.2,3
189,07.21.0,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,Bergbau auf Uran- und Thoriumerze,5,07.21,4
190,07.21.00,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,Bergbau auf Uran- und Thoriumerze,6,07.21.0,5
191,07.29,Estrazione di altri minerali metalliferi non ferrosi,Mining of other non-ferrous metal ores,Sonstiger NE-Metallerzbergbau,4,07.2,3
192,07.29.0,Estrazione di altri minerali metalliferi non ferrosi,Mining of other non-ferrous metal ores,Sonstiger NE-Metallerzbergbau,5,07.29,4
193,07.29.00,Estrazione di altri minerali metalliferi non ferrosi,Mining of other non-ferrous metal ores,Sonstiger NE-Metallerzbergbau,6,07.29.0,5
194,08,Altre attività estrattive,Other mining and quarrying,"Gewinnung von Steinen und Erden, sonstiger Bergbau",2,B,1
195,08.1,"Estrazione di pietra, sabbia e argilla","Quarrying of stone, sand and clay","Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin",3,08,2
196,08.11,"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre","Quarrying of ornamental stone, limestone, gypsum, slate and other stone","Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein",4,08.1,3
197,08.11.0,"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre","Quarrying of ornamental stone, limestone, gypsum, slate and other stone","Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein",5,08.11,4
198,08.11.00,"Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre","Quarrying of ornamental stone, limestone, gypsum, slate and other stone","Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein",6,08.11.0,5
199,08.12,"Estrazione di ghiaia, sabbia, argilla e caolino",Operation of gravel and sand pits and mining of clay and kaolin,"Gewinnung von Kies und Sand, Ton und Kaolin",4,08.1,3
200,08.12.0,"Estrazione di ghiaia, sabbia, argilla e caolino",Operation of gravel and sand pits and mining of clay and kaolin,"Gewinnung von Kies und Sand, Ton und Kaolin",5,08.12,4
201,08.12.00,"Estrazione di ghiaia, sabbia, argilla e caolino",Operation of gravel and sand pits and mining of clay and kaolin,"Gewinnung von Kies und Sand, Ton und Kaolin",6,08.12.0,5
202,08.9,Attività estrattive n.c.a.,Mining and quarrying n.e.c.,Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.,3,08,2
203,08.91,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,Mining of chemical and fertiliser minerals,Bergbau auf chemische und Düngemittelminerale,4,08.9,3
204,08.91.0,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,Mining of chemical and fertiliser minerals,Bergbau auf chemische und Düngemittelminerale,5,08.91,4
205,08.91.00,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,Mining of chemical and fertiliser minerals,Bergbau auf chemische und Düngemittelminerale,6,08.91.0,5
206,08.92,Estrazione di torba,Extraction of peat,Torfgewinnung,4,08.9,3
207,08.92.0,Estrazione di torba,Extraction of peat,Torfgewinnung,5,08.92,4
208,08.92.00,Estrazione di torba,Extraction of peat,Torfgewinnung,6,08.92.0,5
209,08.93,Estrazione di sale,Extraction of salt,Gewinnung von Salz,4,08.9,3
210,08.93.0,Estrazione di sale,Extraction of salt,Gewinnung von Salz,5,08.93,4
